2024-05-23 14:00:49.762 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:01:39.602 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:01:45.830 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:04:37.615 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:04:46.769 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:04:52.133 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:04:54.100 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:04:59.632 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:02.328 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:25.271 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:30.814 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:32.053 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:34.142 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:35.316 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:37.295 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:44.965 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:48.197 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:05:49.869 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:06:31.143 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:06:41.626 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:02.217 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:04.235 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:12.366 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:32.084 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:35.155 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:39.790 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:43.613 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:48.706 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:54.304 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:57.792 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
2024-05-23 14:07:59.947 [info] Discover tests for workspace name: eric - uri: /home/eric/floor_test.py
